Year,Units,Type,Value
2015,%,Share of total areas under protection in the total area of the country,13
2015,unit,"State reserves(Category Ib), quantity",3
2015,%,Share of State reserves(Category Ib) in the total area of the country,1
2015,unit,"National parks (Category II ), quantity",4
2015,%,Share of National parks (Category II ) in the total area of the country,8
2015,unit,"State preserves (Category IV), quantity",27
2015,%,Share of State preserves (Category IV) in the total area of the country,4
2015,unit,"Monuments of Nature(Category III), quantity",232
2016,%,Share of total areas under protection in the total area of the country,13
2016,unit,"State reserves(Category Ib), quantity",3
2016,%,Share of State reserves(Category Ib) in the total area of the country,1
2016,unit,"National parks (Category II ), quantity",4
2016,%,Share of National parks (Category II ) in the total area of the country,8
2016,unit,"State preserves (Category IV), quantity",27
2016,%,Share of State preserves (Category IV) in the total area of the country,4
2016,unit,"Monuments of Nature(Category III), quantity",232
2017,%,Share of total areas under protection in the total area of the country,13
2017,unit,"State reserves(Category Ib), quantity",3
2017,%,Share of State reserves(Category Ib) in the total area of the country,1
2017,unit,"National parks (Category II ), quantity",4
2017,%,Share of National parks (Category II ) in the total area of the country,8
2017,unit,"State preserves (Category IV), quantity",27
2017,%,Share of State preserves (Category IV) in the total area of the country,4
2017,unit,"Monuments of Nature(Category III), quantity",232
2018,%,Share of total areas under protection in the total area of the country,13
2018,unit,"State reserves(Category Ib), quantity",3
2018,%,Share of State reserves(Category Ib) in the total area of the country,1
2018,unit,"National parks (Category II ), quantity",4
2018,%,Share of National parks (Category II ) in the total area of the country,8
2018,unit,"State preserves (Category IV), quantity",27
2018,%,Share of State preserves (Category IV) in the total area of the country,4
2018,unit,"Monuments of Nature(Category III), quantity",232
2019,%,Share of total areas under protection in the total area of the country,13
2019,unit,"State reserves(Category Ib), quantity",3
2019,%,Share of State reserves(Category Ib) in the total area of the country,1
2019,unit,"National parks (Category II ), quantity",4
2019,%,Share of National parks (Category II ) in the total area of the country,8
2019,unit,"State preserves (Category IV), quantity",27
2019,%,Share of State preserves (Category IV) in the total area of the country,4
2019,unit,"Monuments of Nature(Category III), quantity",232
